xHead	yHead	tHead	xTail	yTail	tTail	xBody	yBody	tBody	curvature	areaBody	perimeterBody	headMajorAxisLength	headMinorAxisLength	headExcentricity	tailMajorAxisLength	tailMinorAxisLength	tailExcentricity	bodyMajorAxisLength	bodyMinorAxisLength	bodyExcentricity	imageNumber	id
2350.18	2114.96	2.70347	2370.89	2123.64	2.88161	2361.13	2119.55	2.75529	3.41346e-05	723.5	211.38	14.2541	10.8541	0.648199	15.5496	11.5246	0.671343	26.9143	11.2351	0.908704	3	0
2297.46	1822.17	3.72564	2324.58	1806.58	3.69512	2310.86	1814.47	3.6712	6.20126e-06	1262	173.338	16.9389	13.1096	0.633268	21.6121	10.6037	0.871365	36.7865	11.9298	0.945955	3	1
1706.82	1738.28	2.11505	1724.04	1767.31	2.0346	1715.46	1752.86	2.09697	0.000142917	1324.5	182.066	18.8089	12.206	0.760834	22.6539	10.61	0.883542	39.6478	11.4444	0.957435	3	2
1944.48	1719.73	2.30235	1968.42	1744.74	2.31658	1956.69	1732.5	2.3294	0.000290973	1348	178.451	19.5243	11.7714	0.797811	22.2192	10.8703	0.872154	40.4337	11.2989	0.960163	3	3
1952.02	1388.63	6.13235	1919.53	1377.33	5.83935	1936.78	1383.34	5.95605	0.000227484	307.5	163.782	18.3852	5.62179	0.952103	19.0535	3.33385	0.984573	38.9847	5.35214	0.990531	3	5
1891.88	1350.33	3.17121	1919.95	1355.47	2.86629	1905.01	1352.73	2.94529	0.000553729	755	214.995	13.719	11.4264	0.553436	23.8735	7.80511	0.945046	34.2623	10.0253	0.956234	3	6
1786.35	1337.14	1.74551	1795.12	1363.88	1.89069	1790.57	1350.01	1.88179	0.000205675	1073.5	208.066	15.8587	12.7219	0.59705	22.389	11.3242	0.862655	34.0697	12.0815	0.935014	3	7
2562.73	1181.43	4.89137	2555.92	1146.1	4.9429	2559.51	1164.68	4.90583	0.000159603	1478.5	196.61	21.3204	12.6934	0.803457	21.7977	11.3567	0.853553	41.8756	12.0608	0.957626	3	8
534.295	1125.85	4.27312	548.534	1092.23	4.53893	540.411	1111.41	4.33893	0.00163109	644	247.764	20.5651	7.84308	0.924419	25.1716	6.63814	0.9646	42.5076	8.07298	0.9818	3	9
2247.54	1079.06	2.91246	2270.26	1087.6	2.61865	2258.42	1083.15	2.76024	0.000201245	780	227.137	13.0679	11.4952	0.47562	18.7437	10.7413	0.819512	29.0174	11.248	0.921815	3	10
444.948	994.108	4.17904	452.666	968.199	4.58647	448.486	982.234	4.42364	0.00175372	536.5	204.066	15.7756	7.99504	0.862065	19.1758	6.21032	0.946104	31.9159	7.84005	0.969359	3	11
1117.18	883.961	3.94416	1145.22	858.251	3.88732	1131.09	871.21	3.88821	2.97174e-05	1786	210.108	20.8819	14.9266	0.699318	26.9223	12.2742	0.890024	44.9924	13.6657	0.952757	3	12
1881.33	902.861	0.663604	1847.87	930.688	0.767627	1865.12	916.344	0.699226	4.86331e-05	2350	240.735	26.0666	15.9818	0.789993	27.3965	14.7467	0.842773	51.0366	15.4213	0.953257	3	13
2275.31	595.515	0.192416	2246.4	602.204	0.225893	2261.73	598.658	0.224771	1.0046e-05	1138	158.225	16.9583	12.293	0.688857	18.5391	10.2931	0.831711	34.5071	11.371	0.944147	3	14
2577.37	570.514	0.48025	2557.42	572.453	6.00945	2568.21	571.403	0.0959989	9.76056e-05	749.5	121.154	12.5964	11.421	0.421803	11.9599	10.3253	0.504653	23.3649	11.0976	0.880003	3	15
1315.81	369.996	5.9302	1290.38	360.069	5.88306	1304.36	365.529	5.90975	3.04931e-05	942.5	150.953	16.5716	11.0452	0.745495	17.6184	9.14025	0.854902	32.0661	10.2042	0.948016	3	16
1400.74	300.032	1.4876	1396.32	331.029	1.36174	1398.63	314.853	1.42373	0.000386821	1006	246.794	17.8168	11.2093	0.777291	21.9882	9.3411	0.905276	37.0609	10.3811	0.959968	3	17
586.381	1873.32	4.63321	579.078	1851.1	5.25526	583.071	1863.24	5.01548	0.000219691	212	131.539	13.4331	5.9264	0.897419	14.0698	3.06799	0.975937	26.7093	6.22327	0.972477	3	18
2337.6	2105.62	2.55722	2358.58	2114.11	2.73337	2348.41	2110	2.74706	5.77946e-05	779.5	204.208	13.2189	11.0869	0.544566	15.715	11.6722	0.669577	26.866	11.4089	0.905354	4	0
2318.57	1808.26	3.73547	2345.05	1793.82	3.57794	2331.92	1800.98	3.63632	2.18064e-05	1287	176.167	16.8172	13.2976	0.61219	21.2933	11.4125	0.84424	35.7254	12.4035	0.937795	4	1
1719.99	1762.38	2.14053	1739.14	1791.52	2.09802	1729.71	1777.17	2.1445	7.51977e-05	1390.5	181.723	19.5386	12.1492	0.783173	22.5667	11.0644	0.871556	40.7634	11.6046	0.958622	4	2
1963.29	1742.6	2.34144	1988.31	1767.17	2.3574	1975.81	1754.89	2.36202	9.34237e-05	1222.5	177.522	19.9264	10.6663	0.844672	21.7779	9.82975	0.89234	40.7969	10.228	0.968063	4	3
1958.46	1376.86	6.23326	1927.36	1373.38	6.15934	1944.15	1375.26	6.17762	4.8149e-05	244.5	146.184	17.2989	3.64161	0.977592	18.2459	2.77668	0.988353	35.8679	3.25691	0.995869	4	5
